Keuwl Accelerometer Data File
2019-06-26 16-16-02

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
3.5702598,5.833472,7.922413,0.160412,9.839704,89.065895,53.634850
3.5800359,5.843049,7.946355,0.116119,9.864038,89.325500,53.672516
3.5905519,5.852626,7.922413,0.141258,9.850778,89.178360,53.545132
3.6008608,5.866991,7.915231,0.223858,9.855079,88.698418,53.453121
3.6105249,5.882554,7.915231,0.269348,9.865488,88.435516,53.380486
3.6209011,5.902905,7.931990,0.275333,9.891236,88.404907,53.343761
3.6306601,5.907693,7.929596,0.205901,9.890487,88.807121,53.313221
3.6401978,5.911284,7.945158,0.184354,9.904686,88.933502,53.350353
3.6506479,5.900510,7.953538,0.141258,9.904279,89.182800,53.429298
3.6605539,5.858612,7.955932,0.015562,9.880305,89.909752,53.632706
3.6715398,5.863400,7.912837,-0.080206,9.848801,90.466606,53.461613
3.6806557,5.884948,7.866150,-0.044293,9.823996,90.258324,53.198524
3.6901460,5.901707,7.836222,0.094571,9.810477,89.447670,53.015438
